id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PK1-001,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,"Rozvijeni a udrzba analytiky navstevnosti a poslechovosti - 2023 (ramcova dohoda, Cesky rozhlas)",hourly_rate,ramcova dohoda 36 mesicu,1 600 Kc/h bez DPH,CZK,hodina,44444,27.8,"vice (rozhlas.cz, mujrozhlas.cz, mobilni aplikace)","GA4, Firebase, GTM vc. server-side, BigQuery, Looker Studio, Gemius/NetMonitor",12 h na kritickou vadu (vypadek mereni),yes,"REALNE ZAPLACENA cena (registr smluv), nikoli cenik. Strop 1 600 000 Kc bez DPH na 36 mesicu = 44 444 Kc/mes bez DPH; predpokladany objem 1 000 h / 36 mes = 27,8 h/mes. price_czk_month = mesicni strop ramcove dohody. PRUBEZNA SPRAVA, ne jednorazova implementace. Rozsah: sprava uctu GA4/GTM/BQ/Looker, nasazovani mereni vc. sGTM, testovani implementace, podpora pri vypadcich mereni, optimalizace nakladu GCP. Pokuta 2 000 Kc/den prodleni, pojisteni odpovednosti 900 000 Kc.",https://smlouvy.gov.cz/smlouva/23433101,EK1-001
PK1-002,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,"dilci smlouvy a objednavky pod ramcem ""Rozvijeni a udrzba analytiky navstevnosti a poslechovosti"" (Cesky rozhlas)",retainer_hours,skutecne cerpani ramce,1 596 875 Kc bez DPH za 39 mesicu,CZK,mesic,40946,25.6,vice,"GA4, Firebase, GTM vc. server-side, BigQuery, Looker Studio",12 h na kritickou vadu,yes,"REALNE VYCERPANA castka, ne cenik. 26 zverejnenych dilcich plneni 02/2023-10/2025, soucet 1 932 219 Kc s DPH = 1 596 875 Kc bez DPH, deleno 39 mesici doby ramce = 40 946 Kc/mesic bez DPH. Prumer bezne mesicni objednavky v roce 2025 = 42 571 Kc, median 43 200 Kc. PRUBEZNA SPRAVA. hours_included = 40 946 / 1 600 Kc/h. Seznam vsech 26 dilcich plneni: https://www.hlidacstatu.cz/hledatsmlouvy?q=%22S2023%2F01459%22",https://smlouvy.gov.cz/smlouva/23433101,EK1-004
PK1-003,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,S2023/01459/21 duben (dilci objednavka pod ramcem CRo),retainer_hours,mesicni objednavka 04/2025,38 000 Kc bez DPH,CZK,mesic,38000,23.8,vice,"GA4, GTM, BigQuery, Looker Studio",12 h na kritickou vadu,yes,"Jedna mesicni objednavka (duben 2025) pod ramcovou dohodou; 45 980 Kc s DPH = 38 000 Kc bez DPH; pri sazbe 1 600 Kc/h = 23,8 h. REALNE ZAPLACENO. Prubezna sprava mereni.",https://smlouvy.gov.cz/smlouva/33380512,EK1-004
PK1-004,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,S2023/01459/23 Objednavka cervenec (dilci objednavka pod ramcem CRo),retainer_hours,mesicni objednavka 07/2025,37 200 Kc bez DPH,CZK,mesic,37200,23.2,vice,"GA4, GTM, BigQuery, Looker Studio",12 h na kritickou vadu,yes,"Jedna mesicni objednavka (cervenec 2025); 45 012 Kc s DPH = 37 200 Kc bez DPH; 23,2 h pri 1 600 Kc/h. REALNE ZAPLACENO. Prubezna sprava mereni.",https://smlouvy.gov.cz/smlouva/34027477,EK1-004
PK1-005,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,S2023/01459/19 prace prosinec 2024 (dilci objednavka pod ramcem CRo),retainer_hours,mesicni objednavka 12/2024,127 075 Kc bez DPH,CZK,mesic,127075,79.4,vice,"GA4, GTM, BigQuery, Looker Studio",12 h na kritickou vadu,yes,Nejvyssi mesicni objednavka v ramci (prosinec 2024); 153 761 Kc s DPH = 127 075 Kc bez DPH = 79 h. Ukazuje rozptyl mesicni zateze u kontinualni spravy: v temze ramci se stridaji mesice za 20 000 Kc a mesice za 127 000 Kc. REALNE ZAPLACENO.,https://smlouvy.gov.cz/smlouva/31559428,EK1-004
PK1-006,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,S2023/01459/12 Objednavka kveten (dilci objednavka pod ramcem CRo),retainer_hours,mesicni objednavka 05/2024,20 000 Kc bez DPH,CZK,mesic,20000,12.5,vice,"GA4, GTM, BigQuery, Looker Studio",12 h na kritickou vadu,yes,"Nejnizsi mesicni objednavka v ramci (kveten 2024); 24 200 Kc s DPH = 20 000 Kc bez DPH = 12,5 h. Spodni okraj rozptylu mesicni zateze. REALNE ZAPLACENO.",https://smlouvy.gov.cz/smlouva/29171208,EK1-004
PK1-007,2026-09-06,CZ,CZ,Ing. Michael Pokorny (OSVC),freelancer,"sprava Google analytics (objednavka 4/NPPCR, Krkonose - svazek mest a obci)",retainer_hours,kveten-listopad 2022,10 000 Kc/mesic (neplatce DPH),CZK,mesic,10000,,"3 (krkonose.eu, pohadkove.krkonose.eu, svazek.krkonose.eu)",Google Analytics,neuvedeno,no,"REALNE ZAPLACENA mesicni cena, ne cenik. Celkem 57 790 Kc za 7 mesicu, z toho 5 splatek po 10 000 Kc. Rozsah v cene: pravidelna tvorba reportu, interpretace chovani navstevniku, akvizice ze zdrojovych stranek, nastaveni a vyhodnoceni online kampani. PRUBEZNA SPRAVA (reporting), nikoli QA mereni ani alerting. Dodavatel neplatce DPH.",https://smlouvy.gov.cz/smlouva/20997923,EK1-005
PK1-008,2026-09-06,CZ,CZ,Ing. Michael Pokorny (OSVC),freelancer,"sprava Google Analytics (objednavka 2/NPPCR/2023, Krkonose - svazek mest a obci)",retainer_hours,duben-rijen 2023,85 000 Kc za 7 mesicu (neplatce DPH),CZK,mesic,12143,,3 weby,Google Analytics,neuvedeno,no,"REALNE ZAPLACENA cena. 85 000 Kc / 7 mesicu (duben-rijen) = 12 143 Kc/mesic. Stejny rozsah jako 2022 (reporty, interpretace, akvizice, online kampane). Mezirocni rust +21 % proti 10 000 Kc/mes v 2022. PRUBEZNA SPRAVA.",https://smlouvy.gov.cz/smlouva/24430051,EK1-006
PK1-009,2026-09-06,CZ,CZ,Optimics s.r.o.,analytics_agency,"Rozvijeni a udrzba analytiky navstevnosti a poslechovosti (ramcova dohoda 2021, Cesky rozhlas)",hourly_rate,ramcova dohoda 36 mesicu (2021),1 500 Kc/h bez DPH,CZK,hodina,33333,20.8,vice,"GA4, GTM, BigQuery, Looker Studio",12 h na kritickou vadu,yes,"REALNE ZAPLACENA cena (registr smluv). Strop 1 200 000 Kc bez DPH / 36 mesicu = 33 333 Kc/mes; predpokladany objem 750 h / 36 mes = 20,8 h/mes. PRUBEZNA SPRAVA. Predchudce ramce z roku 2023 (1 600 Kc/h, 1 000 h).",https://smlouvy.gov.cz/smlouva/15314067,EK1-007
PK1-010,2026-09-06,CZ,CZ,Martin Neuschl (OSVC),freelancer,"Interpretace dat a analyticka podpora na dobu 12 mesicu strategickych portalu Objednatele v rozsahu 6 hodin mesicne (CzechTourism, 2024)",retainer_hours,mesicni pausal 2024,9 000 Kc/mesic bez DPH,CZK,mesic,9000,6,"2 (visitczechia.com, kudyznudy.cz)","GA4, GTM, Google Ads, Google Cloud Platform",neuvedeno,optional,"REALNE ZAPLACENY mesicni pausal, ne cenik. 1 500 Kc/h x 6 h = 9 000 Kc bez DPH mesicne, 108 000 Kc za 12 mesicu. PRUBEZNA SPRAVA (interpretace dat a analyticka podpora), oddelena ve stejne smlouve od jednorazoveho nastaveni server-side mereni (31 750 Kc) a testovani mereni (60 000 Kc). Soucasti kazde faktury je zprava o plneni sluzeb.",https://smlouvy.gov.cz/smlouva/27886775,EK1-008
