id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PG9-001,2026-09-04,US,US,Mayple,marketplace,Paid Media Tracking Setup,fixed_package,Tracking Setup,"From $1,500",USD,jednorazove,,10,,,neuvedeno,no,Marketplace expertu; jednorazove nastaveni mereni do 10 h; kurz 1 USD = 23 Kc; neni mesicni sprava,https://www.mayple.com/pricing,EG9-001
PG9-002,2026-09-04,US,US,Mayple,marketplace,Premium Expert Assistance (add-on),retainer_hours,Premium Expert Assistance,from $550/mo,USD,mesic,12650,,,,neuvedeno,no,Add-on k spravovanym sluzbam: dodatecne konzultacni hodiny experta; kurz 1 USD = 23 Kc,https://www.mayple.com/pricing,EG9-001
PG9-003,2026-09-04,US,US,Mayple,marketplace,Paid Media Management,tiered,$5K-$10K media budget,"$1,800/mo",USD,mesic,41400,,,,neuvedeno,no,Kotva: sprava PPC vcetne custom reportingu pri spendu 5-10 tis. USD; tiery az do 500K+ spendu; kurz 1 USD = 23 Kc,https://www.mayple.com/pricing,EG9-001
PG9-004,2026-09-04,US,US,Mayple,marketplace,Paid Media Audit,fixed_package,Audit,"$1,000",USD,jednorazove,,,,,neuvedeno,no,Jednorazovy audit s roadmapou oprav; kurz 1 USD = 23 Kc,https://www.mayple.com/pricing,EG9-001
PG9-005,2026-09-04,US,US,Mayple,marketplace,Custom 3rd-Party Tools Integration,fixed_package,Integrace nastroju,"$1,500/one-time",USD,jednorazove,,,,,neuvedeno,no,Jednorazova integrace tretich nastroju; kurz 1 USD = 23 Kc,https://www.mayple.com/pricing,EG9-001
PG9-006,2026-09-04,US,US,Dynamo Technologies LLC (dodavatel CFPB),analytics_agency,WEB ANALYTICS SUPPORT SERVICES,retainer_hours,federalni kontrakt 9531CB23F0005,"$1,573,349.43",USD,mesic,1005310,,,,neuvedeno,unknown,"Verejna zakazka USA: Consumer Financial Protection Bureau, 2022-11-04 az 2025-11-03 = 36 mesicu; 43 704 USD/mes; kurz 1 USD = 23 Kc; enterprise hladina, obsahuje rezii federalniho dodavatele",https://www.usaspending.gov/award/CONT_AWD_9531CB23F0005_955F_9531CB22A0019_955F,EG9-002
PG9-007,2026-09-04,US,US,HUGE LLC (dodavatel Dept. of Education / FSA),analytics_agency,"contractor support in the development and operation of an internal, centralized website analytics program",retainer_hours,federalni kontrakt 91003119F0311,"$1,001,652.87",USD,mesic,943851,,5,,neuvedeno,unknown,"Verejna zakazka USA: Federal Student Aid, 2019-03-11 az 2021-03-23 = 24,4 mesice; 41 037 USD/mes; scope: standardizace mereni, podpora releasu webu, reporting a insighty; kurz 1 USD = 23 Kc",https://www.usaspending.gov/award/CONT_AWD_91003119F0311_9100_EDFSA15A0003_9100,EG9-003
PG9-008,2026-09-04,US,US,HUGE LLC (dodavatel Dept. of Education / FSA),analytics_agency,website analytics program - enterprise analytics strategy across five main web properties incl. tag management,retainer_hours,federalni kontrakt 0004,"$527,879.72",USD,mesic,758815,,5,,neuvedeno,unknown,Verejna zakazka USA: 2016-09-01 az 2017-12-31 = 16 mesicu; 32 992 USD/mes; explicitne zahrnuje tag management; kurz 1 USD = 23 Kc,https://www.usaspending.gov/award/CONT_AWD_0004_9100_EDFSA15A0003_9100,EG9-003
PG9-009,2026-09-04,US,US,HUGE LLC (dodavatel Dept. of Education / FSA),analytics_agency,website analytics program,retainer_hours,federalni kontrakt 0009,"$489,346.35",USD,mesic,937914,,,,neuvedeno,unknown,Verejna zakazka USA: 2017-07-01 az 2018-06-30 = 12 mesicu; 40 779 USD/mes; kurz 1 USD = 23 Kc,https://www.usaspending.gov/award/CONT_AWD_0009_9100_EDFSA15A0003_9100,EG9-003
PG9-010,2026-09-04,US,US,HUGE LLC (dodavatel Dept. of Education / FSA),analytics_agency,contractor support in managing analytics for the myStudentAid mobile app releases and in providing reporting support,retainer_hours,federalni kontrakt 91003119F0314,"$179,073.81",USD,mesic,343238,,1,,neuvedeno,unknown,Verejna zakazka USA: 2019-03-28 az 2020-03-27 = 12 mesicu; 14 923 USD/mes; scope presne odpovida A1 (mereni pri releasech) + F3 (reporting) pro JEDNU aplikaci - nejlepsi srovnatelny federalni bod pro tier Sprava; kurz 1 USD = 23 Kc,https://www.usaspending.gov/award/CONT_AWD_91003119F0314_9100_EDFSA15A0003_9100,EG9-003
PG9-011,2026-09-04,US,US,HUGE LLC (dodavatel Dept. of Education / FSA),analytics_agency,contractor support in implementing analytics for the myStudentAid mobile app ... reporting and operations support,retainer_hours,federalni kontrakt 91003118F0323,"$153,420.14",USD,mesic,255693,,1,,neuvedeno,unknown,"Verejna zakazka USA: 2018-06-06 az 2019-07-31 = 13,8 mesice; 11 117 USD/mes; kurz 1 USD = 23 Kc",https://www.usaspending.gov/award/CONT_AWD_91003118F0323_9100_EDFSA15A0003_9100,EG9-003
PG9-012,2026-09-04,US,US,MetroStar Systems LLC (dodavatel GSA),analytics_agency,WEB ANALYTICS ANALYST - OPTION YEAR 2,salary_proxy,federalni kontrakt 47HAA019F0200,"$716,795.20",USD,mesic,458073,,,,neuvedeno,unknown,"Verejna zakazka USA: General Services Administration, 2019-09-29 az 2022-09-28 = 36 mesicu; 19 911 USD/mes za JEDNOHO web analytics analytika (fakturovana sazba vc. rezie); kurz 1 USD = 23 Kc",https://www.usaspending.gov/award/CONT_AWD_47HAA019F0200_4773_GS06F0773Z_4732,EG9-004
PG9-013,2026-09-04,US,US,MetroStar Systems LLC (dodavatel GSA),analytics_agency,WEB ANALYTICS SUPPORT,retainer_hours,federalni kontrakt GSH1417AA0224,"$443,136.00",USD,mesic,424672,,,,neuvedeno,unknown,Verejna zakazka USA: 2017-09-29 az 2019-09-28 = 24 mesicu; 18 464 USD/mes; kurz 1 USD = 23 Kc,https://www.usaspending.gov/award/CONT_AWD_GSH1417AA0224_4773_GS06F0773Z_4732,EG9-004
