id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
EV5-001,2026-09-04,11,GLOBAL,google_docs,GA4 Help – Analytics Insights,https://support.google.com/analytics/answer/9443595,"You can create up to 50 custom insights per property. ... Evaluation frequency: Choose how often data is evaluated per the condition you create: Hourly, Daily, Weekly, Monthly. Hourly evaluation is available only for web data. ... If you choose Has anomaly for the condition, then Analytics determines when the change in the metric is anomalous, and you do not need to enter a value. ... Insights are retained for one year after they are generated.",en,"POTVRZENO doslova: limit 50 custom insights na property; frekvence Hourly/Daily/Weekly/Monthly, hodinove vyhodnoceni jen pro web; podminka 'Has anomaly' bez zadaneho prahu; insighty se drzi 1 rok. Tvrzeni 1. kola sedi beze zmeny.","RQ5,RQ7","H1,H5","overeni 2. kola; zdroj otevren primo, cislo 50 je na strance doslova"
EV5-002,2026-09-04,11,GLOBAL,google_docs,GA4 Help – Analytics Insights (notifikace),https://support.google.com/analytics/answer/9443595,"Manage notifications. By default, all users on a property see all triggered custom insights in the Insight dashboard. If there are users who want to notify by email, then enter their email addresses. ... Hourly custom insights for app events are unavailable at this time ... Delay in the collection of app events would result in inaccurate evaluation of the custom insight, thus triggering false notifications.",en,"POTVRZENO: notifikace jsou VYHRADNE e-mail na rucne zadane adresy; zadny Slack ani webhook v dokumentaci neni. Vychozi stav = nikdo nedostane e-mail, insight jen visi v dashboardu, ktery nikdo neotevira. Google sam pise, ze zpozdeni sberu vede k 'false notifications'.","RQ5,RQ7",H5,"klicove pro argument G7: detekce zdarma, ale doruceni je opt-in e-mail bez prijemce"
EV5-003,2026-09-04,11,GLOBAL,google_docs,GA4 Help – BigQuery Export,https://support.google.com/analytics/answer/9358801,"Typically exports mid-afternoon in your property's timezone, but can be delayed until later in the day or the next day ... Streaming export is a best-effort operation and may not include all data for reasons such as the processing of late events and/or failed uploads.",en,"POTVRZENO: cely text stranky neobsahuje ani jednou slova 'notification', 'alert' ani 'email' (overeno grepem v raw HTML). Google o zpozdeni nebo vypadku denniho exportu NEINFORMUJE.","RQ5,RQ7",H1,overeno grepem raw HTML 2026-09-04: 0 vyskytu notif/alert/email
EV5-004,2026-09-04,11,GLOBAL,google_docs,"GA4 Help – BigQuery Export, sekce Completeness signal",https://support.google.com/analytics/answer/9358801,"If you use the Daily or Fresh Daily export with a 360 property, Google Analytics sends a completeness signal that informs you when all of the previous day's data has been exported. ... To access the completeness signal: Sign in to Cloud Logging and go to the ""Logs Explorer"" section. Search for ""export complete"". ... You can view the Completeness Signal in the Log Router section of Cloud Logging, which can be pushed to Cloud Pub/Sub topics. ... the message will typically occur around 5am in the property timezone.",en,"ZMENA proti 1. kolu: signal o UKONCENEM exportu existuje, ale (a) jen pro GA4 360 property, (b) je to pozitivni log 'export complete' v Cloud Logging, ne notifikace o selhani, (c) hlida se jeho NEPRITOMNOST, tj. porad potrebuje vlastni scheduled query nebo log-based alert. Pro standardni (neplacene) GA4 property signal neexistuje vubec.","RQ5,RQ7",H1,"nova sekce, v 1. kole nezachycena; meni formulaci, ne zaver"
EV5-005,2026-09-04,11,GLOBAL,google_docs,BigQuery – Schedule queries,https://docs.cloud.google.com/bigquery/docs/scheduling-queries,"Check Send email notifications to allow email notifications of transfer run failures. ... For Pub/Sub topic, enter your Pub/Sub topic name, for example: projects/myproject/topics/mytopic. ... The minimum duration between scheduled queries is 5 minutes.",en,"POTVRZENO beze zmeny: e-mail POUZE pri selhani behu dotazu, Pub/Sub topic jako druhy kanal, minimalni interval 5 minut. Notifikace o OBSAHU dat (neprisla tabulka, malo eventu) musi napsat clovek jako SQL.","RQ5,RQ7",H1,"URL v 1. kole se presmerovava na docs.cloud.google.com, obsah stejny"
EV5-006,2026-09-04,11,GLOBAL,google_docs,Dataform – Assertions,https://docs.cloud.google.com/dataform/docs/assertions,An assertion is a data quality test query that finds rows that violate one or more conditions specified in the query. ... Dataform runs assertions every time it updates your workflow and it alerts you if any assertions fail. ... nonNull ... rowConditions ... uniqueKey ... uniqueKeys,en,"POTVRZENO: assertions existuji vc. nonNull/uniqueKey(s)/rowConditions a 'alerts you if any assertions fail'. Dokumentace VUBEC neuvadi notifikacni kanal (e-mail/Slack) – 'alert' znamena selhani workflow viditelne v execution logs. Doruceni musi resit Cloud Logging + alerting policy, tj. dalsi konfigurace clovekem.","RQ5,RQ7",H1,overeno primo; kanal notifikace na strance neni
EV5-007,2026-09-04,11,GLOBAL,google_docs,Google Cloud Observability – Pricing,https://cloud.google.com/stackdriver/pricing,"Execution of Monitoring uptime checks $0.30/1,000 executions | 1 million executions per Google Cloud project ... Execution of Monitoring Synthetic Monitors $1.20/1,000 executions | 100 executions per billing account ... Starting no sooner than September 1, 2027, Cloud Monitoring will begin charging for alerting. The pricing model is as follows: $0.35 per month for each metric reference in an alerting policy. $0.50 per 1,000,000 points returned by the query of a metric alerting policy condition. ... First 50 GiB/project/month",en,"OPRAVA nejistoty z 1. kola: alerting policies jsou DNES ZDARMA – zpoplatneni zacne 'no sooner than September 1, 2027'. Uptime checky 1 mil./projekt/mes zdarma, logy 50 GiB/projekt/mes zdarma. Cely monitoring sGTM na Cloud Run tedy vyjde na 0 Kc az do 9/2027.","RQ5,RQ7",H5,"1. kolo uvadelo 'ucinnost 1. 9. 2027 – nejasne, zda plati uz ted'; ted potvrzeno, ze neplati"
EV5-008,2026-09-04,11,GLOBAL,google_docs,"Cloud Billing – Create, edit, or delete budgets and budget alerts",https://docs.cloud.google.com/billing/docs/how-to/budgets,"When you first create a budget, the default alert thresholds are set at 50%, 90%, and 100% of the budget amount, calculated against Actual spend. ... This option sends alert emails to Billing Account Administrators and Billing Account Users on the target Cloud Billing account ... Using Cloud Monitoring, you can specify other people in your organization ... to receive budget alert emails. You can also use Pub/Sub for programmatic notifications (for example, to forward your budget messages to other mediums such as Slack ...). ... Services: In the Services field, select one or more services that you want to apply the budget alert to. ... Each of your Cloud Billing accounts can have up to 50,000 budgets associated with it.",en,"NOVE OVERENO (v 1. kole nefetchovano): rozpoctovy alert lze omezit na jednu sluzbu, tj. samostatny rozpocet 'jen BigQuery'; vychozi prahy 50/90/100 %; e-mail vychozi na billing adminy a users, jine prijemce pres Cloud Monitoring, Pub/Sub pro Slack. Stranka neuvadi zadny poplatek za rozpocty; kvota 50 000 rozpoctu na billing ucet.","RQ5,RQ7",H1,E2 lze pokryt nativne a zdarma; prace cloveka = nastavit prah a reagovat
EV5-009,2026-09-04,11,GLOBAL,google_docs,"Cloud Billing – budgets, upozorneni o limitu",https://docs.cloud.google.com/billing/docs/how-to/budgets,"Caution: Setting an alerts-only budget doesn't automatically cap Google Cloud or Google Maps Platform usage or spending ... budget notifications are sent to the connected Pub/Sub topic multiple times per day with the current status of your budget. This is a different cadence than budget alert emails, which are sent only when a budget threshold is met.",en,"Klicove pro pain bq_cost_spike: rozpoctovy alert NEZASTAVI utraceni, jen posle e-mail pri prekroceni prahu. Bez cloveka, ktery na nej reaguje, faktura roste dal. Pub/Sub navic chodi nekolikrat denne (da se z toho postavit sledovani trendu, ne jen prahu).","RQ5,RQ7",H5,"primy argument pro G7 = reakce, ne detekce"
EV5-010,2026-09-04,11,GLOBAL,vendor_pricing,Google Cloud – Looker Studio (produktova stranka s cenikem),https://cloud.google.com/looker-studio,Looker Studio (Free) Self-service data visualizations and reports – No charge | Looker Studio Pro (Project subscription) Department level reports and visualizations with Google Cloud support and system administration ... $9 per user per project per month,en,"OPRAVA P6-125: cena Looker Studio Pro JE verejne uvedena – 9 USD za uzivatele a projekt mesicne (207 Kc). V 1. kole zapsano jako 'neuvedeno', protoze se hledalo na /looker/docs. Free verze zustava zdarma a bez alertu.","RQ7,RQ2",H5,"cena nalezena na cloud.google.com/looker-studio, ne v docs; /looker-studio/pricing vraci 404"
