id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
P6-001,2026-09-04,GLOBAL,,ObservePoint,saas_tool,ObservePoint Audits & Journeys,saas,Free,0,USD,year,0,,1 000 page scans + 100 journey runs / rok,"web (Adobe, Google, Tealium…)",neuvedeno,ne,"tag monitoring; bezplatná kvóta ročně; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.nicelookingdata.com/compare/observepoint,E6-001
P6-002,2026-09-04,GLOBAL,,ObservePoint,saas_tool,ObservePoint page scans,saas,Pay-per-scan,0.17,USD,per_scan,,,1 page scan,web,neuvedeno,ne,"0,17 USD za skenovanou stránku (=3,9 Kč/scan); zdroj třetí strana (privado.ai, srpen 2026); kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.privado.ai/post/observepoint-alternatives,E6-002
P6-003,2026-09-04,GLOBAL,,ObservePoint,saas_tool,ObservePoint Journeys,saas,Journeys 1 500 runs,2500,USD,year,4792,,1 500 journey runs / rok,web,neuvedeno,ne,"syntetické průchody (nákupní cesta) 2 500 USD za 1 500 běhů ročně; zdroj třetí strana; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.privado.ai/post/observepoint-alternatives,E6-002
P6-004,2026-09-04,GLOBAL,,ObservePoint,saas_tool,ObservePoint,saas,Essentials,599,USD,month,13777,,do 4 000 page scans,web,neuvedeno,ne,"cena z porovnání třetí strany (nicelookingdata), vlastní pricing page je JS kalkulačka; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.nicelookingdata.com/compare/observepoint,E6-001
P6-005,2026-09-04,GLOBAL,,ObservePoint,saas_tool,ObservePoint,saas,Professional,2400,USD,month,55200,,do 20 000 page scans,web,neuvedeno,ne,"cena z porovnání třetí strany; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.nicelookingdata.com/compare/observepoint,E6-001
P6-006,2026-09-04,GLOBAL,,ObservePoint,saas_tool,ObservePoint,saas,Enterprise,neuvedeno,USD,year,,,20 000+ page scans,web,neuvedeno,ne,"contact sales; třetí strana uvádí průměr ~72 000 USD/rok (=138 000 Kč/měs); kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.observepoint.com/pricing/,E6-001
P6-007,2026-09-04,GLOBAL,,InfoTrust,saas_tool,Tag Inspector,saas,všechny tiery,neuvedeno,USD,,,,,web,neuvedeno,ne,"contact sales; zaměření na privacy/consent audity a realtime PII monitoring; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://infotrust.com/products/tag-inspector,E6-003
P6-008,2026-09-04,GLOBAL,,Trackingplan,saas_tool,Trackingplan Pay as you grow,saas,50k MAU,249,USD,month,5727,,50 000 MAU/měs,"web, iOS, Android, backend",email support (office hours),ne,"fakturace ročně; bez poplatku za sedadla; 14 dní trial; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.trackingplan.com/pricing,E6-004
P6-009,2026-09-04,GLOBAL,,Trackingplan,saas_tool,Trackingplan Pay as you grow,saas,500k MAU,999,USD,month,22977,,500 000 MAU/měs,"web, iOS, Android, backend",email support,ne,"fakturace ročně; mezistupeň 200k MAU cena na stránce nerozlišena; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.trackingplan.com/pricing,E6-004
P6-010,2026-09-04,GLOBAL,,Trackingplan,saas_tool,Trackingplan Enterprise,saas,Enterprise od,1750,USD,month,40250,,custom,"web, iOS, Android, backend",SLA premier support,ne,"od 1 750 USD/měs; root cause analysis, realtime API; agenturní plán contact sales; kurz 1 USD=23 CZK, 1 EUR=25 CZK",https://www.trackingplan.com/pricing,E6-004
