id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
N2-001,2026-09-04,CZ,e-shop (klient agentury),rozhovor,https://www.advisio.cz/blog/o-praci-datoveho-analytika-klient-pozna-vysledky-me-prace-ihned-i-to-me-na-ni-bavi/,"Když zavolá, že zaznamenal velký propad v měření – například v návštěvách nebo konverzích. Zjistím, kde je chyba, napravím ji",cs,Klient sám zaznamená propad návštěv/konverzí v GA a volá agentuře; analytik hledá chybu v měřicím kódu/GTM.,gtm_change_dev,klient si všimne propadu v reportech a zavolá,"neuvedeno (reaktivně, až když si klient všimne)",období s chybějícími/špatnými daty; rozhodování nad špatnými čísly,alert na propad klíčových eventů (G1) + reakce (G7),neuvedeno,,E2-017
N2-002,2026-09-04,CZ,"e-shop střední/velký (zdravotnické potřeby, 4 země)",case_study,https://www.advisio.cz/blog/klient-offline-my-online-jak-jsme-diky-dataplus-zachranili-statisicove-trzby/,desítky až sta tisíc korun,cs,Kompletní výpadek e-shopu ve 4 zemích; zákazníci nemohli nakupovat; klient o tom nevěděl.,revenue_mismatch,monitoring DataPlus (sGTM) detekoval pád měřených událostí a poslal alert agentuře,"minuty–hodiny (automaticky), oprava tentýž den",odhad ztráty desítky až stovky tisíc Kč za vícehodinový výpadek,"24/7 alert na purchase=0 / propad eventů (G1, G5)",ne,,E2-019
N2-003,2026-09-04,CZ,e-shop střední (kuchyňské vybavení),case_study,https://www.advisio.cz/blog/case-study-jak-dataplus-pomohlo-rozjet-online-kampane-potten-pannen-stanek/,Rozdíl mezi množstvím dat z Google Analytics 4 a administrací z e-shopu byl až 70 %,cs,"GA4 vidělo jen ~30 % transakcí oproti administraci kvůli adblockerům, iOS a cookies; kampaně nešlo vyhodnotit.",browser_change,audit měření agenturou (srovnání GA4 vs. administrace),neuvedeno (dlouhodobý stav do auditu),"nemožnost vyhodnocovat kampaně, špatná alokace rozpočtu",pravidelné srovnání GA4 vs. backend (D5/G2) + sGTM,ne,,E2-020
N2-004,2026-09-04,CZ,e-shop (Getmi.cz),case_study,https://www.advisio.cz/blog/jak-dataplus-pomohlo-zvysit-trzby-u-getmi-cz-o-temer-44/,důsledná revize měření … správné nastavení cookie lišty a consent mode,cs,"Chyby v konverzních/remarketingových kódech a v cookie liště; po správném nastavení lišty úbytek dat, který vrátilo sGTM (+40 % dat).",consent_change,revize měření agenturou,neuvedeno,méně dat pro optimalizaci kampaní; po nápravě tržby +44 % y/y,kontrola chování tagů podle consentu (B1) + sledování podílu souhlasů (B2),ne,,E2-021
N2-005,2026-09-04,CZ,klienti agentury (e-shopy),blog,https://www.fragile.cz/blog/kvalitni-data-pro-reklamni-systemy/,"v rámci analytiky vidíme v průměru o 30 % méně dat, než je realita",cs,Průměrná ztráta dat v analytice oproti realitě u klientů; primární příčina nastavení cookie lišty.,consent_change,srovnání s reálnými čísly (backend),trvalý stav,rozhodování nad 70 % dat; chyby I. a II. typu,"revize lišty, sledování podílu souhlasů (B1, B2), modelování",ne,,E2-022
N2-006,2026-09-04,CZ,inzerenti v EU,blog,https://fragile.cz/blog/novy-rezim-souhlasu-consent-mode-2-0-neprichazite-o-data/,Ztráty 30-60% dat v rámci webového měření,cs,"Bez Consent Mode v2 přestává fungovat import dat GA→Ads, remarketing a Smart Bidding pro EU uživatele.",ad_platform_change,"změna požadavků Googlu (termín), agenturní upozornění",dle termínu Googlu,"přerušení remarketingu, pokles kvality kampaní","reakce na změny požadavků platforem (B3, C5)",ne,,E2-023
N2-007,2026-09-04,CZ,firmy s Google Ads,web_agentury,https://taste.cz/google-analytics-4,Nesedí vám čísla v GAds kampaních s daty v GA4kách?,cs,"Konverze v Google Ads nesedí s GA4; klient neví, které číslo platí.",revenue_mismatch,klient srovná dva reporty,neuvedeno,"nedůvěra v data, špatné bidování","měsíční srovnání konverzí napříč platformami (D1, D5)",ne,,E2-024
N2-008,2026-09-04,CZ,klienti Taste (různé),web_agentury,https://taste.cz/maturity-model-analytics,"Klienti nemají nastavené měření stoprocentně správně, nemají jasno v tom co přesně měří a práce s daty je pro ně problematická.",cs,"Opakující se stav u nových klientů: měření není správně, nikdo neví co přesně měří.",unknown_owner,audit / maturity model,dlouhodobě neodhaleno,"špatná rozhodnutí, stagnace analytiky","živý měřicí plán a dokumentace (H2), kvartální review (F4)",neuvedeno,,E2-025
N2-009,2026-09-04,CZ,marketingové týmy,skoleni,https://academy.taste.cz/analytika-ve-svete-bez-dat,"Už vás nějakou dobu trápí propad dat po nasazení cookie lišty, ale nevíte, co s tím dělat?",cs,"Po nasazení cookie lišty klesla měřená data; tým neví, co dělat.",consent_change,viditelný propad v GA4 po nasazení lišty,„nějakou dobu“ – trvá,"podměřené konverze, nižší výkon kampaní","B1, B2, consent mode/modelování, sGTM",ne,,E2-026
N2-010,2026-09-04,CZ,firmy s in-house marketingem,web_agentury,https://digitalniarchitekti.cz/produkty/dokumentace-ga-gtm/,"Změna zaměstnanců či vedoucích pracovníků – pokud dokumentaci nemáte, veškerá nastavení odcházejí",cs,"Odešel člověk, který nastavoval GA/GTM; nikdo neví, co které nastavení dělá; po měsíci se zapomíná.",access_lost,až při potřebě změny / při redesignu / novém dodavateli,měsíce,"strach cokoli měnit, přešlapy poškozující data","dokumentace a changelog (A3, H2), správa přístupů (C6)",ne,,E2-004
N2-011,2026-09-04,CZ,e-shopy na Shoptetu,diskuse,https://blog.shoptet.cz/google-analytics-4/,po nasazení měření jsme dostali několik hlášení ohledně problémů s měření,cs,Po aktualizaci integrovaného GA4 měření Shoptetu měl uživatel týden v dimenzi B2B/B2C jen (not set); Shoptet úpravu pozastavil.,release_web,uživatel kontroloval novou dimenzi v GA4 a hlásil v komentářích,cca týden,"nefunkční segmentace B2B/B2C, nutnost čekat na opravu platformy","QA po releasu platformy (A1), alert na skok (not set) (G3)",ne,,E2-059
N2-012,2026-09-04,CZ,e-shopy (Upgates),blog,https://www.upgates.cz/a/jak-propojit-e-shop-s-google-analytics-a-jaka-zakladni-data-v-nem-sledovat,Právě odmítání zasílání cookies bývá nejčastějším důvodem nesouladu údajů o provedených nákupech v administraci e-shopu a v prostředí Google Analytics.,cs,"Počet nákupů v GA4 nesedí s administrací e-shopu (consent, adblock, chyby prohlížeče).",consent_change,majitel srovná GA4 s administrací,průběžně,nedůvěra v GA4 data,"D5/G2 srovnání s tolerancí, B2 podíl souhlasů, sGTM/Measurement Protocol",ne,,E2-060
N2-013,2026-09-04,CZ,e-shopy (checklist GA4),blog,https://nazakladedat.cz/checklist-spravneho-nastaveni-ga4/,Tržby po produktech neodpovídají celkovým tržbám,cs,Součet tržeb po položkách nesedí s celkovou tržbou transakcí – chyba v e-commerce dataLayer/položkách.,release_web,až při analýze produktových reportů,neuvedeno,"špatné produktové reporty, chybné rozhodnutí o sortimentu","validace dataLayer proti specifikaci (A4), QA po releasu (A1)",ne,,E2-061
N2-014,2026-09-04,CZ,e-shopy (checklist GA4),blog,https://nazakladedat.cz/checklist-spravneho-nastaveni-ga4/,duplicitní měření … Platební brána mezi zdroji návštěvnosti … Vývojové verze webu,cs,Hity odcházejí vícekrát; platební brána se objevuje jako zdroj; dev/localhost návštěvnost v produkčních datech.,gtm_change_dev,při auditu / v reportech zdrojů,neuvedeno,"nadhodnocené eventy, přisouzení konverzí platební bráně místo kampani","referral exclusions a filtry (C3, C4), úklid GTM (A6)",ne,,E2-061
N2-015,2026-09-04,CZ,e-shopy (vývoj na produkci),blog,https://www.effectix.com/jak-odstranit-testovaci-objednavky-z-google-analytics/,Objednávku z Google Analytics zcela odstranit bohužel nelze,cs,Vývojáři testují objednávkový proces na živém webu; testovací objednávky se pošlou do GA a nejdou smazat.,release_web,při kontrole tržeb / počtu objednávek,neuvedeno,trvale zkreslené tržby a počet objednávek v GA,"blokace test objednávek v GTM, koordinace s vývojáři před releasy (H1)",ne,,E2-062
N2-016,2026-09-04,CZ,e-shopy s sGTM (přednáška PPC kemp),prednaska,https://marketingmakers.net/server-side-gtm-ano-nebo-ne/,není vyplněn region v server side GTM … využívání FB CAPI bez deduplikace událostí. Chybí zde event_id,cs,sGTM bez regionu → část tagů netrackuje; CAPI bez event_id → duplicitní konverze v Meta.,ad_platform_change,kontrola logů sGTM / event match quality v Meta,neuvedeno,"ztracené nebo zdvojené konverze, špatná optimalizace Meta","kontrola deduplikace a EMQ (D2), sGTM logy (G5)",ne,,E2-056
N2-017,2026-09-04,CZ,weby s bannery / interními kampaněmi,blog,https://www.advisio.cz/blog/merime-interni-kampane-na-webu-pomoci-google-analytics/,"Nejenže si tímto zkreslujete své statistiky, ale hlavně nenávratně přicházíte o původní zdroj návštěvy.",cs,UTM parametry na interních odkazech přepisují původní zdroj návštěvy (např. vyhledávač → banner).,utm_chaos,až při analýze zdrojů,dlouhodobě,"špatná atribuce, nadhodnocené interní kampaně","UTM konvence a kontrola (D4, C4)",ne,,E2-063
N2-018,2026-09-04,CZ,weby s cookie lištou,blog,https://www.marketingppc.cz/google-analytics/google-analytics-4/,"Cookie lišta má velký vliv na nepřesné statistiky, o to více, že je často nesprávně nasazena.",cs,Špatně nasazená lišta (blokuje víc než musí nebo měří před souhlasem) trvale zkresluje statistiky.,consent_change,zpravidla až při auditu,měsíce,"podměřená nebo neprávně měřená data, právní riziko",kontrola chování tagů podle souhlasu (B1),ne,,E2-064
N2-019,2026-09-04,CZ,e-shopy střední (migrace GA3→GA4),blog,https://www.reshoper.cz/cs/blog/detail/priprava-e-shopu-na-prichod-google-analytics-4,"po nasazení může trvat až několik dní, kdy se data začnou v rozhraní GA4 ukazovat",cs,Po přechodu na GA4 nesedí čísla s historií (42 994 vs. 54 872 uživatelů) a data se zobrazují se zpožděním.,ga4_change,srovnání s předchozím nástrojem,dny,"nesrovnatelnost meziročních čísel, zmatek v reportech","dokumentace změn metodiky (H2), historizace v BQ (E4)",ne,,E2-065
N2-020,2026-09-04,CZ,firmy bez BQ exportu,blog,https://flowstack.cz/blog/ga4-bigquery.html,"Data thresholding — GA4 skrývá data, která nechcete vidět … Retence dat jen 14 měsíců",cs,GA4 UI skrývá řádky (thresholding) a maže detailní data po 14 měsících; historie mizí.,ga4_change,až když jsou potřeba starší/detailní data,měsíce (při meziročním srovnání),"ztracená historie, neúplné reporty","BQ export a historizace (E4), retence (C2)",ne,,E2-066
N2-021,2026-09-04,CZ,"klienti freelancera (e-shopy, migrace)",web_freelancer,https://mareklecian.cz/webova-analytika/,"hledání příčin rozdílů mezi webovou analytikou, reklamními systémy a obchodními daty",cs,"Tři zdroje (GA4, reklamní systémy, backend) ukazují jiná čísla; klient si objednává hledání příčin.",revenue_mismatch,klient srovná reporty,neuvedeno,"ad-hoc náklady na diagnostiku, nedůvěra v data",měsíční srovnání konverzí napříč systémy (D5),ne,,E2-034
N2-022,2026-09-04,CZ,e-shopy a firmy s kampaněmi,web_agentury,https://digitalniarchitekti.cz/produkty/pravidelna-udrzba-a-monitoring-mereni/,součást „každodenního provozu“,cs,Nepředvídatelné změny v reklamních systémech a na webech průběžně rozbíjejí měření konverzí; bez kontroly se kampaně cílí špatně.,release_web,týdenní/měsíční kontroly (pokud jsou zaplaceny),týden–měsíc dle frekvence kontrol,"špatné zacílení kampaní, nadbytečné výdaje, ztráta důvěryhodnosti dat","pravidelné kontroly konverzí/eventů/e-commerce (A1, C1, D1–D3)",volitelně,,E2-001
N2-023,2026-09-04,CZ,"Shoptet (interní, 30 webů)",case_study,https://digitalniarchitekti.cz/clanek/poklad-v-datech-cesta-shoptetu-k-analyticke-vyspelosti/,"Zadání nastavit 4 události na 30 webech je velice náročné, právě z toho důvodu, že to jsou 4 události napříč 30 weby.",cs,Weby vznikaly v různých letech na různých technologiích; plošná změna měření ovlivňuje mnoho lidí a procesů.,platform_migration,při zadání změny,–,vysoké náklady na koordinaci; riziko nekonzistentního dataLayer,"schéma dataLayer a jeho validace (A4), alerty kvality dat",ano,,E2-007
