id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
EK1-001,2026-09-06,12,CZ,tender,"Registr smluv - Ramcova dohoda Cesky rozhlas / Optimics s.r.o. ""Rozvijeni a udrzba analytiky navstevnosti a poslechovosti - 2023""",https://smlouvy.gov.cz/smlouva/23433101,"Ucelem teto dohody je zajistit po dobu 36 mesicu ode dne ucinnosti teto dohody poskytovani nize specifikovanych sluzeb (...) az do vyse predpokladaneho financniho limitu 1.600.000,- Kc bez DPH. (...) Cena za 1 hodinu poskytovani sluzeb cini 1.600,- Kc bez DPH. (...) Priloha c. 2: Nabizena cena za hodinu sluzeb v Kc bez DPH vynasobene predpokladanym poctem hodin (1000).",cs,"REALNE ZAPLACENA ceska cena za kontinualni spravu mereni. Ramcova dohoda na 36 mesicu, strop 1 600 000 Kc bez DPH, hodinova sazba 1 600 Kc bez DPH, predpokladany objem 1 000 hodin na 36 mesicu = 27,8 h/mesic, tj. 44 444 Kc/mesic bez DPH stropu. Prvni ceska realizovana (nikoli cenikova) cena za sluzbu, ktera odpovida navrhovanemu tieru 3.",RQ1;RQ3;RQ4,H5,"Zadavatel Cesky rozhlas, dodavatel Optimics s.r.o.; verejna zakazka c.j. MR50/2022; text prilohy z Hlidace statu (strojove ziskany z PDF)"
EK1-002,2026-09-06,12,CZ,tender,"Registr smluv - Priloha c. 1 Specifikace sluzeb, Cesky rozhlas / Optimics (rozsah kontinualni spravy mereni)",https://smlouvy.gov.cz/smlouva/23433101,"Starat se o rozvoj a kontrolu online mereni poslechovosti a navstevnosti webu, mobilnich aplikaci a dalsich online sluzeb (...) Spravovat ucty a reporty v analytickych sluzbach Google Analytics / Google Analytics 4 / Google Firebase a s tim souvisejici ucty a nastaveni ve sluzbach Google Tag Manager, Google BigQuery, Looker Studio, Google Cloud Console a dalsich. Nasazovat nova mereni, primarne pres Google Tag Manager (vcetne server-side), podle pozadavku Ceskeho rozhlasu a kontrolovat nove zmeny v GTM od Ceskeho rozhlasu. Testovat implementaci mereni v novych aplikacich, sluzbach a webech. (...) Poskytovat podporu pri reseni nenadalych situaci souvisejicich s online analytikou jako jsou vypadky mereni, zmeny v nastaveni a funkcnosti sluzeb Google Analytics 4, Google BigQuery, Google Tag Manager a dalsich (...) pracovat na udrzitelnosti mereni - z pohledu financni narocnosti (optimalizace nakladu v Google Cloud Console), poctu odesilanych hitu a eventu",cs,"Doslovny rozsah kontinualni spravy mereni ve verejne zakazce. Pokryva presne aktivity z taxonomie A1, A2, A3, A5 (sGTM), B1 (cookie platform), C1, C6, E1-E6 (BigQuery), F1, F3, G7 (reakce na vypadky mereni), H3. Potvrzuje, ze balik cinnosti navrzeny pro DataLayer tier 3 je realne poptavany a nakupovany ceskym zadavatelem.",RQ2;RQ3;RQ4,H1,"Nejucelnejsi verejne dostupny cesky popis rozsahu kontinualni spravy mereni; obsahuje BigQuery, server-side GTM i vypadky mereni"
EK1-003,2026-09-06,12,CZ,tender,"Registr smluv - Cesky rozhlas / Optimics, cl. VII odst. 4 (SLA na vypadek mereni) a cl. XIII (pojisteni)",https://smlouvy.gov.cz/smlouva/23433101,"V pripade vyskytu kriticke vady (tj. vady zpusobujici vypadek mereni navstevnosti ci poslechovosti nebo omezujici funkcnost webu) zpusobene poskytovatelem se poskytovatel zavazuje vadu odstranit do 12 hodin od oznameni vady objednatelem. (...) Bude-li poskytovatel v prodleni s odstranenim vady sluzeb (...) zavazuje se zaplatit objednateli smluvni pokutu ve vysi 2.000,- Kc za kazdy jednotlivy pripad a kazdy zapocaty den prodleni. (...) Poskytovatel je povinen mit po dobu ucinnosti teto dohody (...) pojistenu svou odpovednost za skodu vzniklou jeho cinnosti z teto dohody s minimalnim limitem plneni 900.000,- Kc.",cs,"Prvni doloziteny cesky SLA slib primo na VYPADEK MERENI: odstraneni do 12 hodin, pokuta 2 000 Kc/den prodleni, povinne pojisteni odpovednosti na 900 000 Kc. Vyvraci tvrzeni verze 2, ze reakcni dobu na vypadek mereni v CR nikdo neslibuje - na verejnem trhu (cenik) skutecne nikdo, ve smluvni praxi verejnych zakazek ano. Zaroven dava kotvu pro pravni vrstvu (priorita C4 z 2. kola).",RQ2;RQ5,H4,"Doklad, ze zadavatel umi vypadek mereni pojmenovat jako kritickou vadu a nacenit sankci"
EK1-004,2026-09-06,12,CZ,tender,Registr smluv - 26 dilcich smluv a objednavek Cesky rozhlas / Optimics pod ramcem S2023/01459 (02/2023-10/2025),https://www.hlidacstatu.cz/hledatsmlouvy?q=%22S2023%2F01459%22,S2023/01459/20 Unor brezen 56 144 Kc; S2023/01459/21 duben 45 980 Kc; S2023/01459/22 Objednavka 43200 52 272 Kc; S2023/01459/23 Objednavka cervenec 45 012 Kc; S2023/01459/25 Objednavka 25 59 532 Kc; S2023/01459/26 Objednavka 26 56 628 Kc; S2023/01459/27 Posledni dilci smlouva na zbytek do kvetna 26 - 360k 435 600 Kc,cs,"26 zverejnenych dilcich plneni pod jednim ramcem = REALNE VYCERPANE castky za kontinualni spravu mereni. Soucet 1 932 219 Kc s DPH = 1 596 875 Kc bez DPH, tj. 99,8 % stropu ramce 1 600 000 Kc. Prumer bezne mesicni objednavky v roce 2025 = 42 571 Kc bez DPH (median 43 200), rozptyl 37 200-49 200 Kc; pri sazbe 1 600 Kc/h to je 23-31 hodin mesicne. Prumer za celou dobu ramce (39 mesicu) = 40 946 Kc/mesic bez DPH.",RQ1;RQ4,H5,"Vypocet z verejneho seznamu dilcich smluv; castky v seznamu jsou s DPH, prepocet /1,21 overen na dilci smlouve 32957356 (56 144 s DPH = 46 400 bez DPH)"
EK1-005,2026-09-06,12,CZ,tender,"Registr smluv - Objednavka 4/NPPCR, Krkonose - svazek mest a obci / Michael Pokorny, ""sprava Google analytics""",https://smlouvy.gov.cz/smlouva/20997923,"Objednavame u Vas spravu Google analytics spocivaji v: 1. pravidelna tvorba reportu, 2. interpretace chovani navstevniku na webech (www.krkonose.eu, www.pohadkove.krkonose.eu, www.svazek.krkonose.eu) 3. akvizice ze zdrojovych stranek, 4. nastaveni a vyhodnoceni online kampani. (...) Termin plneni: kveten - listopad (...) Konecna celkova smluvni cena nepresahne castku 57.790,- Kc vcetne DPH. Smluvni cena bude postupne vyplacena v pravidelne castce 10.000,- Kc, a to na zaklade predlozenych faktur v terminech: 15.6., 15.7., 15.8., 15.9. 15.10.",cs,"REALNE ZAPLACENA ceska mesicni cena za ""spravu Google Analytics"" jako samostatnou polozku: 10 000 Kc/mesic po dobu 7 mesicu (freelancer, neplatce DPH), 3 weby. Rozsah je vsak reporting a interpretace, nikoli QA mereni ani alerting - odpovida spis F1/F3/C4 nez G1-G7 z taxonomie.",RQ1;RQ2,H5,"Druhy nezavisly cesky bod s MESICNI cenou za praci na mereni; prvni byl RobertNemec.com (cenik). Toto je realne zaplacena cena, ne cenikova."
EK1-006,2026-09-06,12,CZ,tender,"Registr smluv - Objednavka 2/NPPCR/2023, Krkonose - svazek mest a obci / Michael Pokorny, ""sprava Google Analytics""",https://smlouvy.gov.cz/smlouva/24430051,"Objednavame u Vas spravu Google Analytics spocivaji v: 1. pravidelna tvorba reportu, 2. interpretace chovani navstevniku na webech (...) Termin plneni: duben - rijen. Cena: Konecna celkova smluvni cena nepresahne castku 85 000,- Kc. Zpracovatel neni platce DPH. (...) 15.7. 2023 - 45 000 Kc a 15.10. 2023 - 40 000 Kc",cs,Stejny dodavatel a stejny rozsah o rok pozdeji: 85 000 Kc za 7 mesicu (duben-rijen) = 12 143 Kc/mesic. Mezirocni rust ceny za tutez sluzbu 10 000 -> 12 143 Kc/mesic (+21 %).,RQ1,H5,"Longitudinalni bod: stejny zadavatel, stejny dodavatel, stejny predmet, dva po sobe jdouci roky"
EK1-007,2026-09-06,12,CZ,tender,"Registr smluv - Ramcova dohoda Cesky rozhlas / Optimics ""Rozvijeni a udrzba analytiky navstevnosti a poslechovosti"" (2021)",https://smlouvy.gov.cz/smlouva/15314067,"Ucelem teto dohody je zajistit po dobu 36 mesicu ode dne ucinnosti teto dohody provadeni (...) do vyse predpokladaneho financniho limitu 1.200.000,- Kc (...) bez DPH. Cena za 1 hodinu poskytovani sluzeb cini 1.500,- Kc bez DPH. (...) Predpokladany pocet hodin 750. Cena celkem v Kc bez DPH 1 125 000,00 Kc. (...) poskytovatel zavazuje vadu odstranit do 12 hodin od oznameni vady objednatelem.",cs,"Predchozi ramec teze sluzby o dva roky driv: 1 200 000 Kc bez DPH na 36 mesicu (33 333 Kc/mes strop), hodinova sazba 1 500 Kc bez DPH, 750 predpokladanych hodin (20,8 h/mes). Longitudinalni srovnani: sazba 1 500 -> 1 600 Kc/h (+6,7 % za 2 roky), objem 750 -> 1 000 h (+33 %), strop 1,2 -> 1,6 mil. Kc (+33 %). Sluzba u tehoz zadavatele roste, nikoli konci.",RQ1;RQ4,H5,Podklad pro rocni indexaci; stejny dodavatel vyhral obe zakazky
EK1-008,2026-09-06,12,CZ,tender,"Registr smluv - Smlouva o poskytovani sluzeb, CzechTourism / Martin Neuschl (2024), kombinace jednorazoveho nastaveni a mesicniho pausalu",https://smlouvy.gov.cz/smlouva/27886775,"Poskytovatel se zavazuje (...) poskytovat konzultacni a analyticke sluzby a nastavit mereni portalu Objednatele VisitCzechia (www.visitczechia.com) a Kudy z nudy (www.kudyznudy.cz) (...) v nastroji Google Tag Manager, Google Cloud Platform a dalsich, dle zadani Objednatele, po dobu 12 kalendarnich mesicu od nabyti ucinnosti teto Smlouvy. Nastaveni mereni do GA4 a Google Ads na strane serveru. Testovani nastaveni mereni. Interpretace dat a analyticka podpora na dobu 12 mesicu strategickych portalu Objednatele v rozsahu 6 hodin mesicne. (...) Dilci cena (...) je 1 500 Kc bez DPH / hodina v rozsahu 6 hodin /mesicne, tedy 9 000 Kc bez DPH mesicne, tedy 108 000 Kc bez DPH za 12 mesicu. (...) Soucasti kazde faktury bude zprava o plneni sluzeb.",cs,"REALNE ZAPLACENY cesky MESICNI PAUSAL za analytickou podporu: 9 000 Kc bez DPH mesicne za 6 hodin (1 500 Kc/h), 12 mesicu, dva portaly. Vedle nej jednorazove polozky: nastaveni server-side mereni do GA4 a Google Ads 31 750 Kc a testovani nastaveni mereni 60 000 Kc. Prakticky presna kotva pro navrhovany tier 1 (8 900 Kc) - jen s jinym obsahem (interpretace dat, ne hlidani).",RQ1;RQ2;RQ4,H5,Modelove rozdeleni jednorazova implementace vs. prubezny pausal v jedne smlouve; povinna mesicni zprava o plneni sluzeb jako artefakt
EK1-009,2026-09-06,12,CZ,tender,"Registr smluv - Smlouva CzechTourism / Martin Neuschl (2023), tyz mesicni pausal o rok driv",https://smlouvy.gov.cz/smlouva/23682417,"Interpretace dat a analyticka podpora na dobu 12 mesicu strategickych portalu Objednatele v rozsahu 6 hodin mesicne (...) Dilci cena za plneni uvedene v clanku III. odst. 3.1.3 je 1 440 Kc bez DPH / hodina v rozsahu 6 hodin /mesicne, tedy 8 640 Kc bez DPH mesicne, tedy 103 680 Kc bez DPH za 12 mesicu. (...) bude Objednatelem uhrazena na mesicni bazi na zaklade vystavene faktury ve vysi 8 640 Kc bez DPH. Soucast faktury bude zprava o plneni sluzeb.",cs,"Tyz mesicni pausal o rok driv: 8 640 Kc bez DPH/mesic za 6 h (1 440 Kc/h). Mezirocne 1 440 -> 1 500 Kc/h (+4,2 %). Dva po sobe jdouci roky stejne struktury u tehoz zadavatele = pausal za analytickou podporu neni jednorazovy experiment.",RQ1;RQ4,H5,Longitudinalni bod; ostatni polozky teze smlouvy (uprava automatizovanych reportu v Looker Studio) 48 000 Kc za sest reportu
EK1-010,2026-09-06,12,CZ,tender,Registr smluv - Smlouva CzechTourism / Tereza Neuschl (2025): interpretace dat a analyticka podpora po dobu 11 mesicu,https://smlouvy.gov.cz/smlouva/32389880,"Poskytovatel se zavazuje poskytovat sluzby interpretace dat a analyticke podpory po dobu 11 mesicu, provadet konfigurace a upravy souvisejici s nastroji webove analytiky (...) Pro nastroj webove analytiky Google Analytics na strategickych webech poskytovatel zajisti provadeni konfiguracnich aktivit, ktere jsou nezbytne pro udrzeni aktualnich nastaveni, dohled nad konzistenci dat a pripadne zasahy pro zvyseni jejich prehlednosti. Pro nastroj Google Tag Manager poskytovatel zajisti konfiguraci medialnich skriptu pro spravne mereni placene navstevnosti a upravy pro optimalizaci vykonu ci aktualizaci nastaveni v client-side kontejneru. V souvislosti s planovanou zmenou poskytovatele virtualniho serveru na strane Google lze ocekavat nezbytne upravy v server side tagging kontejneru. Pro nastroj Looker Studio poskytovatel zajisti spravu a aktualizaci automatizovanych reportu webu. Pro nastroj BigQuery poskytovatel zajisti optimalizaci nakladu na ulozeni a zpracovani dat (...) Poskytovatel rovnez proaktivne informuje o novinkach v odvetvi, vcetne technickych, pravnich a oborovych zmen, na ktere je treba adekvatne reagovat. (...) Maximalni mesicni cena je 15 300 Kc za 9 hodin podpory. V pripade ze pozadavky Objednatele budou pracnejsi nez 9 hodin, kazda dalsi hodina podpory je uctovana zvlast v cene 1 700 Kc. (...) Soucast kazde faktury bude predem odsouhlaseny prehled o cinnosti a zprava o plneni sluzeb.",cs,"Nejblizsi verejne dolozeny cesky ekvivalent navrhovane sluzby DataLayer: mesicni pausal 15 300 Kc bez DPH za 9 hodin, rozsah GA4 + GTM client-side i server-side + Looker Studio + BigQuery + proaktivni informovani o zmenach + ad hoc. Hodinova sazba nad ramec 1 700 Kc. REALNE ZAPLACENO, treti rok v rade u tehoz zadavatele.",RQ1;RQ2;RQ3;RQ4,H1;H5,"Rozsah pokryva C1, C4, A2, A5, F1, F2, E2, B3, H3 z taxonomie; chybi alerting a QA po releasu"
