id,date_accessed,region,country,provider,provider_type,service_name_verbatim,pricing_model,tier_name,price_original,currency,period,price_czk_month,hours_included,properties_included,platforms_included,response_time,requires_bq,scope_notes,source_url,evidence_id
PV3-001,2026-09-04,US,US,"Audiense Online (Elevar)",saas_tool,"Audiense Online — Elevar pricing / Core",saas,Core,225,USD,mesic,5175,-,"1 Shopify/Shopify Plus store; up to 2,000 orders/mo","up to 2 ad or analytics destinations","Standard (within 24h)",no,"OPRAVA P5-057: dnes platí sada Core/Advanced/Premium/Elite, ne Essentials/Growth/Business 200/450/950. Primární zdroj: getelevar.com/pricing 301 → audiense.com (Elevar je nyní produkt ""Audiense Online (Elevar)""). Overage $0,50/extra order. Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-002,2026-09-04,US,US,"Audiense Online (Elevar)",saas_tool,"Audiense Online — Elevar pricing / Advanced",saas,Advanced,650,USD,mesic,14950,-,"1 store; up to 10,000 orders/mo","up to 4 ad, affiliate, analytics, attribution & BI, email/SMS destinations","Standard (within 24h)",no,"OPRAVA P5-057 (dříve Growth 450 USD). Od tohoto tieru výš je dostupný lidský add-on Analyst services. Overage $0,15/extra order. Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-003,2026-09-04,US,US,"Audiense Online (Elevar)",saas_tool,"Audiense Online — Elevar pricing / Premium",saas,Premium,1250,USD,mesic,28750,-,"multi-storefront; up to 30,000 orders/mo","up to 10 destinations + API framework (Magento/Adobe, WooCommerce, SFCC)","Priority (within 12h)",optional,"OPRAVA P5-057 (dříve Business 950 USD). BigQuery je jedna z destinací (Attribution & BI). Overage $0,10/extra order. Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-004,2026-09-04,US,US,"Audiense Online (Elevar)",saas_tool,"Audiense Online — Elevar pricing / Elite",saas,Elite,"Starting at 3000",USD,mesic,69000,-,"multi-storefront; up to 75,000 orders/mo + room to scale","up to 25 destinations + API framework","Priority (within 12h)",optional,"NOVÁ: čtvrtý (nejvyšší) tier, v 1. kole nezaznamenán. Doslova ""Starting at $3,000 /mo"", dále Contact Sales. Overage $0,04/extra order. Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-005,2026-09-04,US,US,"Audiense Online (Elevar)",analytics_agency,"Analyst services — Tier 1: Up to 3 analyst requests/month",fixed_package,"Analyst services Tier 1","+500",USD,mesic,11500,"up to 3 analyst requests/month","1 účet","GA4, Meta, Google Ads a další destinace Elevaru","Standard 24h / Priority 12h dle tieru",no,"OPRAVA P5-058: v 1. kole jen ze třetí strany (analyzify), dnes ověřeno na primárním ceníku. Doslova ""Get expert help with your ongoing tagging and server-side tracking needs as an optional add-on with a fixed monthly fee""; dostupné od tieru Advanced výš (u Core není). Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-006,2026-09-04,US,US,"Audiense Online (Elevar)",analytics_agency,"Analyst services — Tier 2: Up to 10 analyst requests/month",fixed_package,"Analyst services Tier 2","+1000",USD,mesic,23000,"up to 10 analyst requests/month","1 účet","GA4, Meta, Google Ads a další destinace Elevaru","Standard 24h / Priority 12h dle tieru",no,"OPRAVA P5-058: ověřeno na primárním ceníku; dostupné od tieru Advanced výš. Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-007,2026-09-04,US,US,"Audiense Online (Elevar)",saas_tool,"Additional destinations — Add destinations without changing your plan with a la carte pricing per destination",saas,"add-on za destinaci",125,USD,mesic,2875,-,"1 účet","1 další destinace","dle tieru",no,"NOVÁ: osa cenění podle počtu destinací (obdoba ""počet ad platforem"" v taxonomii). Doslova ""$125/mo add-on per additional destination"" (Advanced, Premium, Elite). Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-008,2026-09-04,US,US,"Audiense Online (Elevar)",saas_tool,"Boosted events — Tailored Start (pLTV, Comeback score)",saas,"Tailored Start add-on",500,USD,mesic,11500,-,"1 účet","predikce pLTV, comeback score do destinací","dle tieru",no,"NOVÁ: doslova ""$500/mo add-on for Tailored Start"" (u Advanced); u Premium/Elite ""Fast or Tailored Start"" v ceně. Kurz 1 USD = 23 Kč",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-009,2026-09-04,US,US,"Audiense Online (Elevar)",analytics_agency,"Expert installation — For standard Shopify setups that want help getting started",fixed_package,"Expert installation",1000,USD,jednorazove,-,-,"1 Shopify store","GA4, ads destinace",-,no,"NOVÁ (v 1. kole jen v poznámce): jednorázová implementace nad SaaS. Doslova ""$1,000 one-time fee"" pro všechny tiery. Kurz 1 USD = 23 Kč → 23 000 Kč jednorázově",https://www.audiense.com/products/audiense-online/pricing/,E5-033
PV3-010,2026-09-04,US,US,"Audiense Online (Elevar)",analytics_agency,"Headless expert installation / API expert installation",fixed_package,"Headless / API installation",4500,USD,jednorazove,-,-,"headless Shopify / API integrace","GA4, ads destinace",-,no,"NOVÁ: doslova ""$4,500 one-time fee"" (headless u všech tierů, API installation jen u Premium a Elite). Kurz 1 USD = 23 Kč → 103 500 Kč jednorázově",https://www.audiense.com/products/audiense-online/pricing/,E5-033
