id,date_accessed,phase,region,source_type,source_name,source_url,quote_verbatim,language,summary_cs,relates_to_rq,relates_to_hypothesis,notes
E3-001,2026-09-04,3,SK,website,"DASE – blog Analytika nie je šprint, ale maratón (Marek Cibuľa, 27.8.2025)",https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,"700 eur bez DPH mesačne … Výšku mesačného paušálu si určuje vždy klient, pričom výška paušálu determinuje objem",sk,Jediná nalezená veřejná cena kontinuální správy analytiky na SK: minimální měsíční paušál 700 € bez DPH; objem práce odvozen od výše paušálu (retainer typu 'kupujete kapacitu').,RQ2;RQ1,H3,"DASE = jediná čistě analytická agentura na SK (od 2016). Cena je v blogu, ne na stránce služby."
E3-002,2026-09-04,3,SK,website,"DASE – blog Analytika nie je šprint, ale maratón",https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,"vybudovanie a údržba reportingu; integrácia nových meraní; správa server-side GTM; data warehouse a BigQuery; CRO optimalizácia webu; proaktívne a ad-hoc analýzy; konzulting, školenia tímu",sk,"Výčet aktivit v kontinuální spolupráci DASE – pokrývá F1, A2, A5, E3/E5, I2, I1/H3, H4. Detekce chyb 'pravidelná kontrola dát' + anomaly detection.",RQ1;RQ6,H1;H5,"BigQuery uvedeno jako jedna z položek, ne jako podmínka."
E3-003,2026-09-04,3,SK,website,"DASE – blog maratón, citace Július Selnekovič (Analytics Engineer)",https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,Meranie niektorých udalostí nefunguje korektne alebo vôbec. Dôvodom bývajú zmeny na webovej stránke.,sk,"Agentura potvrzuje, že při pravidelné kontrole dat pravidelně nachází nefunkční eventy; příčinou jsou změny webu.",RQ3;RQ4,H2,
E3-004,2026-09-04,3,SK,website,"DASE – blog maratón, Július Selnekovič",https://www.dase-analytics.com/blog/sk/analytika-nie-je-sprint-ale-maraton/,"Obzvlášť citlivé je to v prípade consent módu a zmien cookie lišty, kedy môže dôjsť k zníženiu počtu konverzií.",sk,Změna consent mode / cookie lišty jako typický spouštěč propadu konverzí v ad platformách.,RQ3,H2,
E3-005,2026-09-04,3,SK,website,"DASE – blog Investícia do webovej analytiky (Marek Cibuľa, 8.11.2024)",https://www.dase-analytics.com/blog/sk/investicia-do-webovej-analytiky-co-dostanete-za-svoje-peniaze/,"objem analytickej podpory si stanovuje sám klient … 2-mesačná výpovedná doba … platíte len za práce, ktoré budú reálne odvedené",sk,"Smluvní model kontinuální podpory DASE: klient volí objem, 2měsíční výpověď, fakturace odvedené práce. Měsíc 1 = analytická strategie 1 400 €.",RQ2;RQ4,H3,Článek popisuje 12měsíční plán: strategie → GA4 → cookie lišta → skripty → sGTM → dashboardy → analýzy → A/B.
E3-006,2026-09-04,3,SK,website,DASE – blog Investícia do webovej analytiky,https://www.dase-analytics.com/blog/sk/investicia-do-webovej-analytiky-co-dostanete-za-svoje-peniaze/,pre webe s niekoľkými miliónmi requestov mesačne zaplatíte iba cca 20-50€ / mesačne,sk,Provozní náklad sGTM/GCP podle DASE: 20–50 €/měs i pro weby s miliony requestů.,RQ7,H5,
E3-007,2026-09-04,3,SK,website,"DASE – blog Server-side GTM Q&A (Július Selnekovič, 27.1.2025)",https://www.dase-analytics.com/blog/sk/server-side-gtm-qa-common-sense-verzia/,7 €/mesiac – 250 000 požiadaviek/mesiac … 100 €/mesiac – 25 000 000 požiadaviek/mesiac … dlhodobá prevádzka vyžaduje pravidelnú údržbu a monitoring … úplný výpadok meraní,sk,"Ceník GCP hostingu sGTM 7–100 €/měs, Stape free–150 €/měs; explicitně: dlouhodobý provoz vyžaduje údržbu a monitoring; typický incident = úplný výpadek měření kvůli neplatné platební metodě v GCP.",RQ7;RQ3,H5;H2,
E3-008,2026-09-04,3,SK,website,DASE – stránka služby Analytický audit,https://www.dase-analytics.com/sk/analyticky-audit/,"GA4 môže zbierať dáta každý deň a reporty môžu vyzerať úplne v poriadku. To však ešte neznamená, že meriate správne.",sk,"Formulace tichého selhání ('reporty vypadají v pořádku, ale měříte špatně') přímo na prodejní stránce.",RQ3,H2,Audit bez veřejné ceny; trigger: 'po zmenách na webe alebo v meraní'.
E3-009,2026-09-04,3,SK,pricing_page,DASE – stránka služby Efektívna analytika v praxi,https://www.dase-analytics.com/sk/efektivna-analytika-v-praxi/,začína od 1 400 € bez DPH,sk,Jednorázový vstupní produkt (audit + strategie + workshop) od 1 400 € – vstupní bod před kontinuální spoluprací.,RQ2;RQ4,H3,
E3-010,2026-09-04,3,SK,website,Dexfinity – služba Webová analytika a reporting pre e-shopy,https://www.dexfinity.com/sluzby/analytika/,Live dashboard plus týždenný súhrn … Automatizované reporty do e-mailu,sk,"Dexfinity dodává kontinuální prvky (live Looker/Zoho dashboard, týdenní a měsíční souhrn e-mailem, automatické alerty při propadu ROAS/skoku trafficu), sGTM, CAPI, Consent Mode v2. Cena neuvedena.",RQ6;RQ1,H5,EN verze: alerts 'when ROAS drops or traffic jumps'; pain '20 to 40% of conversions' lost to iOS/blockers.
E3-011,2026-09-04,3,SK,website,Dexfinity – Dexguide Google Analytics,https://www.dexfinity.com/dexguide/google-analytics/,"Viac ako 40 % e-shopov, s ktorými začíname spoluprácu, má GA4 nainštalovaný ale bez merania revenue.",sk,Kvantifikace: >40 % nových klientů agentury má GA4 bez měření tržeb – nikdo si nevšiml.,RQ3;RQ4,H2,Agentura ověřuje e-commerce tracking při každém novém klientovi (trigger = onboarding do PPC správy).
E3-012,2026-09-04,3,SK,website,Dexfinity – Dexguide Freelancer (sadzby SK/CZ 2026),https://www.dexfinity.com/dexguide/freelancer/,"Dátová analytika / GA4: junior 25–45 €/h, mid 45–70 €/h, senior 70–110 €/h … Retainer (mesačná paušálna platba za definovaný rozsah)",sk,"Publikované rozpětí hodinových sazeb freelancerů pro datovou analytiku/GA4 na SK/CZ trhu; retainer definován jako měsíční paušál za definovaný rozsah, přechod na retainer po 2–3 měsících.",RQ2,H3,
E3-013,2026-09-04,3,SK,website,Basta digital – Enterprise level digitálna analytika (Daniel Duriš),https://bastadigital.com/enterprise-level-digitalna-analytika/,Našou úlohou je monitorovať ich dostupnosť a zároveň aj správnosť. … Implementácia programátormi vyžaduje opakované testovanie a kontinuálny monitoring zmien.,sk,"Basta popisuje kontinuální monitoring dostupnosti a správnosti dat a nutnost opakovaného testování po zásazích programátorů; surová data přes BigQuery, reporting Looker Studio. Cena neuvedena.",RQ1;RQ3,H1;H2,Basta digital = dříve Pizza SEO; 35+ lidí; CEE.
E3-014,2026-09-04,3,SK,website,Visibility (CZ entita) – Konzultace webové analytiky / pokračující podpora,https://www.visibility.cz/webova-analytika-2/konzultace-webova-analytika/,Výsledky se špatně vyhodnocují,cs,"Pokračující podpora = měsíční analýza výkonu webu a kampaní, měsíční konzultace s doporučeními, Looker Studio dashboardy, průběžná datová podpora při změnách. Bez ceny. Triggery: kolísání kampaní bez vysvětlení, chybějící kapacita týmu na pravidelný monitoring.",RQ1;RQ6;RQ4,H1,SK VISIBILITY s.r.o. (Bratislava) a CZ VISIBILITY DIGITAL s.r.o. (Praha) sdílí značku/skupinu Visibility 360; SK web nemá detail služby.
E3-015,2026-09-04,3,SK,website,Visibility.sk blog – E-commerce analytika: 8 najčastejších chýb (Dominik Baláž),https://visibility.sk/blog/e-commerce-analytika-najcastejsie-chyby-a-problemy/,Kampane sa optimalizujú podľa mikro-konverzií namiesto skutočných konverzií,sk,Typická chyba: špatně nastavené cíle → Smart Bidding optimalizuje na mikrokonverze.,RQ3,H2,
E3-016,2026-09-04,3,SK,website,ConsultOne / webanalytics.sk (Martin Botťánek) – sGTM článek + GTM služba,https://www.webanalytics.sk/google-tag-manager/server-side-tracking-sgtm-najlepsie-investovanych-50-eur-do-marketingu/,Najlepšie investovaných 50 EUR mesačne do marketingu? Server-side tracking … Náklady na sGTM začínajú už na 20 EUR mesačne,sk,Kotva provozního nákladu sGTM 20–50 €/měs; GTM implementace 'Cena od 350 € bez DPH' (consultone.sk). Žádný veřejný měsíční retainer.,RQ2;RQ7,H5,"Specializovaná analytická butiková agentura, Bratislava, od 2007."
E3-017,2026-09-04,3,SK,website,webanalytics.sk – Duplicitné objednávky v Google Analytics (2.5.2025),https://www.webanalytics.sk/google-analytics/duplicitne-objednavky-v-google-analytics/,"Revenue v administrácii e-shopu vôbec nesedí s tým, čo vidíte v Google Analytics",sk,Pain: duplicitní purchase při refreshi děkovné stránky; řešení transaction_id v cookie/localStorage nebo dedup v sGTM přes Firebase/BigQuery.,RQ3;RQ5,H2;H1,
E3-018,2026-09-04,3,SK,pricing_page,TechWeb.sk – Google Tag Manager implementácia,https://techweb.sk/tag-manager-implementacia,od 350 € bez DPH … od 800 € … GTM audit od 150 €,sk,"Veřejné jednorázové ceny: základní GTM (snippet, GA4, Ads konverze, cookie consent) od 350 €, komplexní e-shop (dataLayer, EEC, CMv2) od 800 €, audit od 150 €. Měsíční správa neuvedena.",RQ2,H3,Pain na stránce: 'každý nový tag = ticket programátorovi + 1–3 týždne čakania'; 15–40 % konverzí blokováno.
E3-019,2026-09-04,3,SK,website,"TechWeb.sk blog – Webová analytika, ktorá skutočne mení váš marketing",https://techweb.sk/blog/webova-analytika-ktora-skutocne-meni-vas-marketing,"Pravidelná revízia, aspoň raz za štvrťrok, zaistí, že vaše dáta odrážajú aktuálnu realitu webu … Nepravidelná kontrola kvality dát (mení sa web, menia sa tagy)",sk,Doporučená frekvence revize: min. kvartálně; nepravidelná kontrola kvality dat uvedena jako chyba.,RQ1;RQ4,H2,
E3-020,2026-09-04,3,SK,website,Starbomedia – Server Side Tagging vs Tracking (tabulka nákladů),https://starbomedia.sk/server-side-tagging-vs-server-side-tracking-aky-je-skutocny-rozdiel,Údržba a aktualizácie: €100-300 (mesačne) … Údržba (GCP): €200-500 (mesačne) … GTM konfigurácia (agentúra): €1 000-3 000 … Setup a konfigurácia (GCP): €3 000-8 000 … Stape hosting (Pro) €20-50 … GCP hosting €120-300,sk,"Jediný nalezený SK zdroj s explicitní měsíční cenou ÚDRŽBY měření (sGTM): 100–300 €/měs (Stape varianta), 200–500 €/měs (GCP varianta).",RQ2;RQ7,H3;H5,"Ceny jsou orientační tabulka v blogu, ne ceník služby."
E3-021,2026-09-04,3,SK,pricing_page,Starbomedia – Cenník,https://starbomedia.sk/cennik,Nastavenie merania konverzií … od 400 € jednorazovo … Google Ads od 350 € / mes.,sk,"Měření konverzí (GA4, sGTM, Enhanced Conversions) jako jednorázová položka od 400 €; správa Ads od 350 €/měs.",RQ2,H3,
E3-022,2026-09-04,3,SK,website,Starbomedia – Koľko stojí Google Ads reklama na Slovensku 2026,https://starbomedia.sk/kolko-stoji-google-ads-reklama-na-slovensku-2026,mesačnú validáciu čísel voči reálnym tržbám,sk,"Měsíční validace čísel vůči reálným tržbám je uváděna jako součást poctivé správy PPC (ne samostatná služba); nastavení měření 300–600 € jednorázově, má zachytit ≥90 % tržeb.",RQ1;RQ3,H1,"Ukazuje, že část 'správy měření' je na SK zabalená do PPC správy."
E3-023,2026-09-04,3,SK,website,Peter Šutarík – Čo je data layer a prečo bez neho tracking zlyhá,https://petersutarik.com/sk/blog/co-je-data-layer-preco-tracking-zlyha/,"GA4 ukazovalo za apríl 184 nákupov. Shopify 291 … Dva mesiace pred auditom prebehol frontendový redizajn … Nastavte si monitoring: automatizované testy, ktoré overujú, či sa kritické pushe spúšťajú",sk,"Konkrétní case: DTC brand s 22 000 €/měs ad spend, redesign změnil CSS třídy, Google Ads tag posílal value 0, GA4 chyběly transakce; nikdo si 2 měsíce nevšiml. Doporučení: automatizované testy dataLayer pushů.",RQ3;RQ4,H2,"Freelancer, marketing measurement, B2B; blog 2026."
E3-024,2026-09-04,3,SK,website,Peter Šutarík – GTM triggery: 5 tichých chýb (24.6.2026),https://petersutarik.com/sk/blog/gtm-triggery-ticho-chyby-ktore-rozbiju-tracking/,Tag sa spustí dvakrát. GA4 zaznamená dva eventy. Počet konverzií sa cez noc zdvojnásobí.,sk,Case B2B lead-gen 12 000 €/měs: GA4 94 formulářů vs CRM 162 (42 % rozdíl) – trigger na všech stránkách; překrývající se triggery zdvojují konverze přes noc; doporučeno kvartální mapování triggerů.,RQ3,H2,
E3-025,2026-09-04,3,SK,website,Peter Šutarík – GA4 konverzie: 5 najčastejších chýb (11.6.2026),https://petersutarik.com/sk/blog/ga4-konverzie-nastavenie-najcastejsie-chyby/,"Consent banner je nasadený, právne oddelenie ho schválilo, ale nikto neprepojil banner s Consent Mode v2",sk,Nejčastější nález auditů: CMP nasazena bez napojení na Consent Mode v2 → 30–60 % uživatelů bez dat; case B2B SaaS 14 000 €/měs: GA4 38 vs CRM 67 demo (43 %). Doporučeno měsíční srovnání GA4 vs CRM.,RQ3;RQ1,H2,Citace přeložena z parafrázy nástroje – ověřit doslovnost při použití.
E3-026,2026-09-04,3,SK,website,Peter Šutarík – GA4 vs Google Ads konverzie: Prečo čísla nesedia (10.6.2026),https://petersutarik.com/sk/blog/ga4-vs-google-ads-konverzie-preco-cisla-nesedia/,GA4 ukazovalo 214 nákupných kľúčových udalostí … Google Ads hlásil 297 konverzií,sk,"Case: 39 % rozdíl při 22 000 €/měs spendu; riziko chybného seškrtání rozpočtu, pokud se Ads hodnotí z GA4. Zdroj pravdy = CRM/platební brána.",RQ3,H2,
E3-027,2026-09-04,3,SK,website,Peter Šutarík – GA4 Audit: Kontrolný zoznam na 10 oblastí (7.6.2026),https://petersutarik.com/sk/blog/ga4-audit-kontrolny-zoznam/,Minimálne raz za kvartál kompletný audit a rýchlu kontrolu po každej väčšej zmene … 20 až 40 percent traffiku úplne zmizlo z reportov,sk,Doporučená frekvence: kvartální audit + kontrola po každé větší změně; typický nález: 20–40 % trafficu zmizelo kvůli consentu.,RQ1;RQ4,H2,
E3-028,2026-09-04,3,SK,website,Peter Šutarík – Server-Side Tracking: Kompletný sprievodca (3.2.2026),https://petersutarik.com/sk/blog/server-side-tracking-kompletny-sprievodca/,"konverzie v Google Ads alebo Meta Ads klesajú, zatiaľ čo reálne tržby rastú",sk,"Symptom, který klienta přivede k řešení měření; implementace sGTM 500–2 000 € jednorázově, hosting 20–50 €/měs (Stape), návratnost od ad spendu > 2 000 €/měs.",RQ2;RQ4,H5,
E3-029,2026-09-04,3,SK,website,Peter Šutarík – Assessment marketingového merania,https://petersutarik.com/sk/marketing-measurement/,30-50% konverzií zostáva nesledovaných,sk,Bezplatný 3min assessment jako lead magnet; cílový klient 10–500 tis. €/měs ad spend; 50+ auditů.,RQ3;RQ4,H2,Žádný retainer – projektový model.
E3-030,2026-09-04,3,SK,website,Viktor Madaj (madaja.sk) – GA4 pre e-shop: čo nastaviť a v akom poradí,https://www.madaja.sk/analytika/google-analytics-4-eshop-navod/,"E-shop má Google Analytics 4 nasadené celé mesiace... majiteľ si myslí, že meria. Pritom v Monetizácii má nuly. … Rozbité meranie sa neohlási, jednoducho ticho prestane posielať dáta. … Rozdiel nad 20 % už takmer vždy znamená chybu v nastavení. … Pri každej väčšej zmene e-shopu... si prejdite testovací nákup znova.",sk,"Freelancer popisuje tiché selhání (měsíce nul v Monetizaci – web posílal data ve starém formátu), práh 20 % rozdílu jako signál chyby, doporučení testovacího nákupu po každé větší změně.",RQ3;RQ4,H2,Nabízí audit měření a setup; cena přes kalkulačku.
E3-031,2026-09-04,3,SK,pricing_page,Dinally.sk,https://www.dinally.sk/,od 350 € mesačne bez DPH … 110 € / hod.,sk,"Freelancer/malá agentura: správa kampaní od 350 €/měs, konzultace 110 €/h; měření (GA4, GTM, Meta Pixel) součást nabídky; trhy SK CZ AT DE RO HU.",RQ2;RQ8,H3,
E3-032,2026-09-04,3,SK,pricing_page,plexcore.sk – Cenník konzultačných a realizačných služieb 2025,https://plexcore.sk/cennik/,"70€ / hodina … 8 h/mesiac 532 € (66,50 €/h, odozva 72 h) … 40 h 2 520 € … 80 h 4 760 € … 160 h 8 960 € … ročná predplatba: odozva 24 hodín",sk,"Veřejně strukturovaný retainer (roční smlouva, měsíční platba, sleva za objem, reakční doba jako osa 72 h vs 24 h). Není analytická firma (konzultace + realizace design/tech) – slouží jako vzor struktury tierů na SK.",RQ2;RQ6,H3,"Použít jako strukturální benchmark, ne cenu analytiky."
E3-033,2026-09-04,3,SK,website,Dobrý Marketing – Cenník marketingových služieb 2025 (SK) s odkazem na ADMA benchmark,https://dobrymarketing.sk/blog/qa-freelnacer-marketer/,"Špecialista webovej analytiky: 65 € … Pracujeme buď hodinovo, paušálne alebo projektovo.",sk,"ADMA (Asociácia digitálnych marketingových agentúr) benchmark 2025: špecialista webovej analytiky 65 €/h bez DPH; Strategy/Account Director 90 €/h. Starší ADMA ceník 2022 uváděl 60 €/h (PDF nedostupné, jen snippet).",RQ2,H3,Přímo stránka ADMA s ceníkem vrací 404 – převzato z citace.
E3-034,2026-09-04,3,SK,website,ppcexpert.sk (Arnošt Vágner) – Koľko stojí správa PPC kampaní 2026,https://ppcexpert.sk/kolko-stoji-sprava-ppc-kampani-realne-ceny-agentur-a-freelancerov-v-2026/,"300 až 800 eur mesačne alebo 10 až 20 percent z reklamného rozpočtu … 150 až 600 eur mesačne … Kontrola merania konverzií, aby dáta sedeli … nastavenie analytiky od nuly … bežne účtujú zvlášť",sk,"Cenová kotva PPC správy na SK; kontrola měření konverzí je v ceně správy, nastavení analytiky od nuly se účtuje zvlášť.",RQ2;RQ1,H3;H1,
E3-035,2026-09-04,3,SK,website,Jaspravim.sk – gigy GA4/GTM,https://www.jaspravim.sk/michaltycoon/google-analytics-4---nastavenie-merania-194918,"Google Analytics 4 - nastavenie merania za 50,00 € … 294 hodnotení, 17 predajov",sk,"SK marketplace: GA4 setup 50 € (MichalTycoon), GA nastavenie 30 €/h (LuciaLup, 27 recenzí, ~5 h), GTM 60 € (MarkethinkPPC), audit GA4+GTM 20 € (tomas.po, 0 objednávek). Žádný měsíční gig.",RQ2,H3,Spodní cenová hranice trhu; žádná poptávka po měsíční správě viditelná na marketplace.
E3-036,2026-09-04,3,SK,job_ad,"Profesia.sk – Webový analytik, GA špecialista pre Profesiu (29.7.2022)",https://www.profesia.sk/praca/profesia/O4367098,Revidovať súčasné meranie v Profesii a nastavovať nové meranie v GA4 … Nastavenie a údržba reportingu v GA4 … Správa prístupových práv GA/GTM a súvisiacich nástrojov,sk,"In-house alternativa: 2 800 €/měs brutto + 13. plat (živnost); úkoly = A2, A3, C6, F1, H3, H4, BigQuery plánováno.",RQ2;RQ1,H3,"Starší inzerát (2022), ale úkoly odpovídají správě."
E3-037,2026-09-04,3,SK,job_ad,Worki.sk – Slovenská produkčná (JOJ): Dátový analytik pre digitálne produkty (8/2025),https://www.worki.sk/ponuka-prace/slovenska-produkcna/2058995-datovy-analytik-pre-digitalne-produkty-web-a-mobilne-aplikacie,"Implementácia a správa analytických nástrojov (GA4, GTM, Hotjar, atď.)",sk,"2 500 €/měs brutto; min. 2 roky praxe, GA4/GTM/Looker/Power BI.",RQ2,H3,
E3-038,2026-09-04,3,SK,job_ad,Talent Solutions – Webový analytik (2.7.2024),https://www.talent-solutions.sk/pozicia/webovy-analytik-3363/,"Nastavovať tags (pixely, eventy atď.) v nástroji Google Tag Manager (GTM)",sk,"1 900 €/měs brutto; správa přístupů GA/GSC/GTM, pravidelný a ad-hoc reporting, SEO nástroje.",RQ2,H3,
E3-039,2026-09-04,3,SK,job_ad,8h.sk – agregát inzerátů Web analytik SK,https://8h.sk/s?f=SK-state&q=Web+analytik&t=job,50 pozícií … 980–4 900 € … medián 2 050 € … priemer 2 403 €,sk,"Agregát 50 inzerátů (široce definovaný 'web analytik'), medián 2 050 €/měs, 37 v Bratislavě, 32 remote.",RQ2,H3,Kategorie zahrnuje i marketingové pozice – proxy s nižší váhou.
E3-040,2026-09-04,3,SK,website,Platy.sk – Špecialista marketingových analýz / Dátový analytik,https://www.platy.sk/platy/marketing-reklama-pr,Špecialista marketingových analýz 1 591 - 3 415 EUR … Dátový analytik 1 685 - 3 277 EUR (80 % zamestnancov),sk,Platová rozpětí SK (hrubá měsíční mzda) jako proxy in-house nákladu.,RQ2,H3,
E3-041,2026-09-04,3,SK,website,MeasureCamp Bratislava,https://bratislava.measurecamp.org/,"Saturday, October 3, 2026 … Diamond: Commanders Act; Gold: Datacop; Silver: Bloomreach, Digitálna univerzita, O2, Google",en,"Komunita existuje (unconference, 2017–2026); sponzoři = SaaS a data firmy, žádná lokální agentura mezi sponzory 2026. Datacop (SK data firma) nedostupná (403).",RQ4,,Web FB skupin a LinkedIn nebylo možné otevřít – komunitní citace chybí.
E3-042,2026-09-04,3,SK,website,High5.sk – Rozdielne alebo nepresné meranie konverzií: 8 prípadov (Adam Dzurenda),https://high5.sk/rozdielne-alebo-nepresne-meranie-konverzii-8-pripadov-kedy-sa-s-nimi-mozete-stretnut/,"Pri porovnávaní rozsiahlych období sa môžu vyskytnúť dni či týždne, počas ktorých účty ešte neboli prepojené … Ak užívateľ nepovolí cookies, konverzia sa analyticky nekoná",sk,"PPC agentura vyjmenovává důvody nesouladu konverzí (atribuce, cookies, nepropojené účty, telefonáty).",RQ3,H2,
E3-043,2026-09-04,3,SK,website,"VITA.sk – Ako zistiť, či GA4 je správne nasadený (Miroslav Reiter, 3.3.2026)",https://www.vita.sk/blog/marketing-reklama-pravo/google-analytics-2-cast-ako-zistit-ci-ga4-je-spravne-nasadeny-na-webe-a-ako-ho-pouzivat-ako-na-ai-navstevnost/,Wappalyzer neoveruje správnosť implementácie,sk,"Tři časté chyby: umístění kódu, chybné Measurement ID, duplicita gtag.js + GTM (double-up).",RQ3,H2,
E3-044,2026-09-04,3,SK,website,ui42 – About us,https://www.ui42.com/about-us,"Prague: Opened in 2026 at PernerKarlin, Pernerova 727/40a, Prague 8",en,SK full-service agentura (80+ lidí) expanduje 2026 do Prahy; samostatná stránka webové analytiky neexistuje (404).,RQ8,,SK→CZ expanze potvrzena.
E3-045,2026-09-04,3,SK,website,Dexfinity – služba analytika (kanceláře),https://www.dexfinity.com/sluzby/analytika/,"offices in Slovakia (Bratislava, Trenčín), Czech Republic (Prague); 34+ markets",en,SK performance agentura (63 lidí) s pražskou pobočkou – prodává do CZ; model spolupráce provizní (ACoS).,RQ8,,
E3-046,2026-09-04,3,SK,website,"Proficio SK – Prečo prejsť na novú verziu GTM (Lukáš Vožda, 1.6.2022)",https://proficiodigital.sk/buducnost-analytiky-preco-prejst-na-novu-verziu-gtm,rádovo v desiatkach či stovkách eur,sk,Cloud náklad sGTM podle Proficio (CZ agentura se SK webem): desítky až stovky eur měsíčně podle trafficu.,RQ7,H5,Směr CZ→SK.
E3-047,2026-09-04,3,SK,website,"BigWay Digital – Tracking, analytika, reporting",https://www.bigway.sk/tracking-analytika-reporting/,Nastavenie Google Analytics 4; Server-side Google Tag Manager; Analytická stratégia; Analytický audit; Pokročilé merania v Google Analytics; Analytika pre e-shopy; Školenie analytiky … Pravidelne reportujeme výsledky,sk,Web/marketing agentura; názvy položek se doslova shodují s nabídkou DASE (možný partner/white-label). Bez ceny.,RQ1,,
E3-048,2026-09-04,3,SK,website,ADMA – profil agentúry DASE,https://adma.sk/agentury/dase/,"DASE, je jediná agentúra na Slovensku, ktorá sa zaoberá výlučne digitálnou analytikou … klientov na Slovensku a v zahraničí",sk,Potvrzení pozice DASE; 5 lidí v profilu; zahraniční klienti bez specifikace CZ.,RQ8,,
