id,date_accessed,region,segment,source_type,source_url,quote_verbatim,language,situation,what_broke,how_noticed,time_to_notice,impact,would_prevent,has_bq,pain_cluster,evidence_id
NG13-001,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/pixel-issues-purchases-not-being-tracked-new-dawn-update/332651,I had 18 orders from my ad since June 6th and nothing has been tracked since. The dawn theme update probably has removed some coding and now things are not getting tracked.,en,"Aktualizace Shopify tématu Dawn přepnula obchod na Checkout Extensibility; purchase se spustil, ale bez parametrů",release_web,"majitel si sám všiml, že reklamy nevykazují konverze u 18 objednávek",12 dní (6.6.–18.6.2024),"18 objednávek z placené reklamy neměřeno, nulová atribuce a hodnota konverze",A1;A4;G1;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-001
NG13-002,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/pixel-issues-purchases-not-being-tracked-new-dawn-update/332651,"the 'Purchase' event still triggers, but there are absolutely no parameters detected",en,"Po update tématu event chodí, ale bez value/currency - klasický tichý poloviční výpadek",release_web,až ruční kontrola eventu v debuggeru,12 dní,"konverze bez hodnoty, Smart Bidding nemá na čem optimalizovat",A1;A4;G4,no,Purchase potichu přestal chodit po releasu/změně checkoutu,EG13-001
NG13-003,2026-09-04,GLOBAL,eshop_mid,forum,https://community.shopify.com/t/shopify-not-recording-store-sessions-correctly/339583,we are spending around 1k per day on Meta and Google and getting around 50 store sessions per day. which is down about 100% Meta is still recording purchases but Google ads has completely stopped recording any conversions,en,Změna nastavení Customer Privacy / consentu v Shopify shodila měření sessions i Ads konverze,consent_change,majitel si všiml nesouladu spend vs. sessions,10 dní (5.7.–15.7.2024),"1 000 USD/den výdajů proti měření, které ukazuje 50 sessions místo ~2000; Google Ads bez konverzí",B1;B2;G1;G3,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-002
NG13-004,2026-09-04,GLOBAL,eshop_mid,forum,https://community.shopify.com/t/shopify-not-recording-store-sessions-correctly/339583,"We have had the exact same issue, should be getting 2000+ sessions based on ad spend and normal CR however showing 50 sessions with 75% CR. Support says its nothing... Ours started June 24.",en,Druhý e-shop se stejným problémem; podpora platformy problém popírá,consent_change,porovnáním očekávaných sessions podle ad spendu,3 týdny (24.6.–17.7.2024),"konverzní poměr uměle 75 %, rozhodování o kampaních na nesmyslných číslech",B1;G2;G3;H3,no,Cookie lišta potichu vypnula měření a Ads konverze,EG13-002
NG13-005,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/google-youtube-app-ga4-events-dont-work/288873,"It seemed to track everything fine until one day I added a GTM tag, and it stopped tracking any ecommerce data, only traffic... I only noticed a few weeks later, when there were 0 view_items, add_to_cart, purchase events registered.",en,Přidání GTM tagu shodilo e-commerce měření z nativní Shopify aplikace,gtm_change_dev,náhodná kontrola GA4 reportu po několika týdnech,několik týdnů,"kompletní ztráta e-commerce dat (view_item, add_to_cart, purchase) za období",A1;A3;A4;G1,no,Někdo sáhl do GTM/dataLayeru bez koordinace,EG13-003
NG13-006,2026-09-04,EU,eshop_mid,forum,https://community.shopify.com/t/google-analytics-shopify-transactions-discrepancy/151191,GA used to show about 5% fewer Transactions than Shopify. We can live with that. But since the beginning of July (so 2.5 months ago) this discrepancy jumped to 20%. ... We haven't changed anything on our website.,en,Post-purchase upsell aplikace rozbila předávání transakcí do GA,revenue_mismatch,ruční srovnání objednávek Shopify vs. transakcí GA,"2,5 měsíce","20 % transakcí chybí v GA, atribuce a ROAS podhodnocené o pětinu",D5;G2;E5,no,"GA4 vs. backend se rozjely a nikdo neví, co je normální",EG13-004
NG13-007,2026-09-04,GLOBAL,eshop_mid,forum,https://community.shopify.com/t/why-has-my-event-purchase-tracking-suddenly-stopped-working/257056,"On September 26th all events purchase tracking stopped for facebook, google and tiktok. ... We are losing $1000's a day and wasting huge amounts of AD spend.",en,Purchase event přestal chodit najednou do všech tří ad platforem,ad_platform_change,z propadu vykázaných konverzí v ad platformách,10 dní (26.9.-6.10.2023),tisíce USD denně promrhaného ad spendu podle vlastního odhadu majitele,D1;D2;D3;G1;G7,no,Smart Bidding týdny optimalizuje na rozbitá data (slepý spend),EG13-005
NG13-008,2026-09-04,GLOBAL,eshop_mid,forum,https://community.shopify.com/t/why-has-my-event-purchase-tracking-suddenly-stopped-working/257056,"It's been a real headache since everything just suddenly stopped working for us too - Facebook, Google, and TikTok ... we're losing a significant amount of money daily and wasting a ton of ad spend as well.",en,Druhý e-shop se stejným výpadkem purchase přes všechny platformy,ad_platform_change,z rozdílu mezi objednávkami a konverzemi v platformách,~2 měsíce od prvního hlášení bez řešení,denní ztráta na promrhaném ad spendu; problém zůstal 2 měsíce nevyřešen,D1;D2;D3;G1;G7,no,Smart Bidding týdny optimalizuje na rozbitá data (slepý spend),EG13-005
NG13-009,2026-09-04,GLOBAL,eshop_small,forum,https://community.shopify.com/t/why-has-shopify-analytics-stopped-tracking-purchases-since-october-31/267998,"Since 31st October, Shopify analytics stopped tracking purchases. Since 9st November it stopped tracking all events except standard events (page_view, session_start etc.)",en,"Platforma přestala odesílat e-commerce eventy, nativní konektor i GTM zasaženy",platform_migration,"až po druhé eskalaci výpadku (nejdřív purchase, pak vše)",13 dní,"žádné e-commerce eventy, jen page_view/session_start; Meta pixel jediný funkční",G1;G4;G7;A1,no,Platforma změnila pravidla pod nohama (Shopify/Shoptet/Google/Meta),EG13-006
NG13-010,2026-09-04,EU,eshop_mid,forum,https://community.shopify.com/t/why-is-my-channel-tracking-not-working-since-november-1st/266172,"Since the 1st of November, my channel tracking on the Shopify Marketing dashboard is broken. None of the orders get a source anymore ... only a few orders made are tracked as purchases",en,Objednávky ztratily zdroj/medium; GA4 měří jen část nákupů,platform_migration,kontrolou marketing dashboardu,6 dní,"atribuce kanálů nepoužitelná, GA4 měří jen zlomek objednávek",C3;C4;D4;G3,no,Kampaně spadly do Direct / (not set) - atribuce slepá,EG13-007
